,0
4835,"HuffPost - Breaking News, U.S. and World News | HuffPost"
4836,World News | NBC News
4837,NULL
4838,NULL
4839,Frustrated Obama: I won't be ‘paralyzed’ on Syria
4840,World News | NBC News
4841,Rand Paul Warns Edward Snowden: Don't Cozy Up To The Russians (VIDEO) | HuffPost Latest News
4842,Kerry urges North Korea to join regional dialogue - BBC News
4843,NULL
4844,NULL
4845,NULL
4846,NULL
4847,NULL
4848,Iran talks came 'extremely close' to deal - John Kerry - BBC News
4849,Ruth Marcus: Obama’s style on Syria needs refashioning - The Washington Post
4850,Obama's risky Syria move – Global Public Square - CNN.com Blogs
4851,A vote of no confidence is in order - The Washington Post
4852,Qaeda Messages Prompt U.S. Terror Warning - The New York Times
4853,How big is China's cyber threat? – Global Public Square - CNN.com Blogs
4854,NULL
4855,Profile: Edward Snowden - BBC News
4856,NULL
4857,NULL
4858,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
4859,"HuffPost - Breaking News, U.S. and World News | HuffPost"
4860,World powers reach nuclear deal with Iran to freeze its nuclear program - The Washington Post
4861,Exclusive: Dozens of CIA operatives on the ground during Benghazi attack – The Lead with Jake Tapper - CNN.com Blogs
4862,Bin Laden's son-in-law hit with terror charges| Latest News Videos | Fox News
4863,NULL
4864,World News | NBC News
4865,NULL
4866,U.S. official: Benghazi assault appeared to be ‘terrorist attack from the get-go’ - The Washington Post
4867,NULL
4868,Probe launched over $500M spent on Afghanistan planes now sitting idle | Fox News
4869,US surveillance: Trading secrecy for public trust? - BBC News
4870,Obama Faces Barrier in His Own Party on Syria - The New York Times
4871,Obama awards soldier Medal of Honor for 2009 heroics
4872,NULL
4873,Obama gears up for all-out push on Syria
4874,NULL
4875,Exception
4876,Opinion | Surveillance: Snowden Doesn’t Rise to Traitor - The New York Times
4877,President Obama upbraids China over cyber attacks - BBC News
4878,NULL
4879,Criticism of United States’ Mideast Policy Increasingly Comes From Allies - The New York Times
4880,NULL
4881,"John Kerry Makes Case For Syria Strike, But Questions Linger | HuffPost Latest News"
4882,"Growing chatter, rising concern and post-Benghazi caution behind threat warning and embassy closures – CNN Security Clearance - CNN.com Blogs"
4883,NULL
4884,Theresa May faces quiz over asylum for terror suspect Anas al-Liby - BBC News
4885,Fact Check: Timeline of statements raises questions on Obama’s Benghazi claims | Fox News
4886,WikiLeaks’ Assange: Snowden ‘marooned in Russia’ - The Washington Post
4887,NULL
4888,NULL
4889,Pentagon: More tests will take North Korea closer to nuclear missile - CNN
4890,NULL
4891,Eugene Robinson: The new al-Qaeda menace - The Washington Post
4892,"Edward Snowden gets website job in Russia, lawyer says - CNN"
4893,NULL
4894,NULL
4895,Obama standing by decision to lift moratorium on releasing Guantanamo Bay prisoners back to Yemen | Fox News
4896,U.S. Acknowledges Killing 4 Americans in Drone Strikes - The New York Times
4897,NULL
4898,World News | NBC News
4899,NULL
4900,"US surveillance foiled 50 plots, says spy chief Alexander - BBC News"
4901,NULL
4902,U.S. asks Hong Kong for Snowden's return
4903,NSA leaks: Father urges Snowden not to commit 'treason' - BBC News
4904,NULL
4905,Exclusive: Dozens of CIA operatives on the ground during Benghazi attack – The Lead with Jake Tapper - CNN.com Blogs
4906,NULL
4907,NULL
4908,NULL
4909,"HuffPost - Breaking News, U.S. and World News | HuffPost"
4910,NULL
4911,Officials: U.S. won’t seek U.N. approval for strike if Syria reneges on chemical-arms pact - The Washington Post
4912,Opposition to Syria attack emerges in Congress
4913,NULL
4914,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
4915,NULL
4916,Opinion: Obama is mulling the least bad option - CNN
4917,"Obama announces 34,000 troop drawdown in Afghanistan"
4918,Putin tells Obama he supports Syria talks but not USA arms
4919,Kerry steadfast on Iran talks despite Khamenei’s harsh words for Israel - The Washington Post
4920,Iran agrees to curb nuclear activity at Geneva talks - BBC News
4921,Syria crisis: US and France heal Iraq wounds - BBC News
4922,Al-Qaeda chief Zawahiri urges 'lone-wolf' attacks on US - BBC News
4923,"Obama nominates Hagel, Brennan for top security posts despite criticism | Fox News"
4924,Opinion: Obama is mulling the least bad option - CNN
4925,NULL
4926,NULL
4927,Charles Krauthammer: The fruits of epic incompetence - The Washington Post
4928,Opinion | Close the N.S.A.’s Back Doors - The New York Times
4929,Brazil's president Rousseff attacks US over spy claims - BBC News
4930,China Doesn't Care if Its 'Digitalized' Military Cyberwar Drill Scares You
4931,"Hong Kong hotel says Edward Snowden was there, but checked out Monday - The Washington Post"
4932,Iran seeks 'authentic' bilateral US nuclear talks - BBC News
4933,Drone strikes: US Congress to get legal documents - BBC News
4934,NULL
4935,NULL
4936,The terror situation in America gets even more intense | On Air Videos | Fox News
4937,"Hong Kong Media Scrambles To Find Edward Snowden, NSA Whistleblower | HuffPost Latest News"
4938,NULL
4939,NULL
4940,NULL
4941,NULL
4942,Fugitive Edward Snowden asks Ecuador for asylum - BBC News
4943,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
4944,Exception
4945,NULL
4946,U.S. Considers Faster Pullout in Afghanistan - The New York Times
4947,Obama's Bat Cave: $1.9 Billion Data Center Set to Open In October
4948,C.I.A. Delivers Cash to Afghan Leader’s Office - The New York Times
4949,Opinion | Barry’s War Within - The New York Times
4950,Biden Looks Into North Korea at Border - The New York Times
4951,NULL
4952,World News | NBC News
4953,NULL
4954,Syria crisis: Obama's gamble on Congress - BBC News
4955,NULL
4956,Confidential report lists U.S. weapons system designs compromised by Chinese cyberspies - The Washington Post
4957,NULL
4958,NULL
4959,Davos 2013: Kissinger says Iran nuclear crisis close - BBC News
4960,"In case you missed it: North Korea's threats, Clinton's testimony and more - CNN"
4961,Julian Assange: Edward Snowden Is 'Safe And Healthy' | HuffPost Latest News
4962,World News | NBC News
4963,NULL
4964,Obama-Hollande readouts are quite different
4965,Putin tells Obama he supports Syria talks but not USA arms
4966,Iran seeks 'authentic' bilateral US nuclear talks - BBC News
4967,Kerry: U.S. isn't 'blind' or 'stupid' on Iran  - CNN
4968,NULL
4969,NULL
4970,Meet the Press: Inside Takes on the Latest Stories with Chuck Todd | NBC News
4971,NULL
4972,Immigration reform: Obama sees deal within six months - BBC News
4973,Opinion: Three questions for Obama on Syria - CNN
4974,Chinese Hackers Resume Attacks on U.S. Targets - The New York Times
4975,U.S. Confronts Cyber-Cold War With China - The New York Times
4976,"As cyber threats build, CEOs ask for 'light touch'"
4977,"Obama's Allies in Syria: Al Qaeda, 'Highwaymen, Kidnappers, and Killers'"
4978,"As Obama appears closer to Syria response, Congress now urges caution | Fox News"
4979,Sen. Inhofe: US doesn't have 'the resources' to strike Syria | On Air Videos | Fox News
4980,NULL
4981,Opinion | Let’s Be Honest About Israel’s Nukes - The New York Times
4982,Snowden move is latest snub to Obama from Russia
4983,Barack Obama defends 'just war' using drones - BBC News
4984,What are America's military options in Syria? | On Air Videos | Fox News
4985,Growing foreign pushback to potential US attack in Syria | On Air Videos | Fox News
4986,NULL
4987,Kerry: 'Verification is the key' in Iran nuclear deal
4988,McCain to hold up Dempsey for renewal as top military officer after clash over Syria | Fox News
4989,"HuffPost - Breaking News, U.S. and World News | HuffPost"
4990,NULL
4991,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
4992,Suriname president's son on US terror charges - BBC News
4993,Pentagon sees 'significant interest' in F-35 from Gulf
4994,Should America attack Syria? | On Air Videos | Fox News
4995,NULL
4996,World News | NBC News
4997,U.S. strike kills 2 top Shabab members in Somalia
4998,The U.S.-Saudi crackup reaches a dramatic tipping point - The Washington Post
4999,NSA spy leaks: Snowden thanks Russia for asylum - BBC News
5000,"Afghanistan gains will be lost quickly after drawdown, U.S. intelligence estimate warns - The Washington Post"
5001,FOX Nation- Geographic Restriction
5002,Fugitive Edward Snowden trapped in Russia - Putin - BBC News
5003,Pirates Kidnap U.S. Sailors Off Nigerian Coast | HuffPost null
5004,N.S.A. Leaks Revive Push in Russia to Control Net - The New York Times
5005,Snowden to Brazil: Swap you spying help for asylum
5006,NULL
5007,Obama doesn't foresee U.S. boots on the ground in Syria
5008,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
5009,Family of American seized in N. Korea pleads for help
5010,World News | NBC News
5011,"Snowden Seeks Asylum in Russia, Putting Kremlin on the Spot - The New York Times"
5012,NULL
5013,NULL
5014,Cruising for a bruising? - BBC News
5015,Exclusive: Snowden persuaded other NSA workers to give up passwords - sources
5016,NULL
5017,NULL
5018,NSA spying claims: Five things you need to know - CNNPolitics
5019,"U.S. and Iran 
Agree to Speed
Talks to Defuse
Nuclear Issue - The New York Times"
5020,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
5021,N.S.A. Report Outlined Goals for More Power - The New York Times
5022,NULL
5023,Rand Paul Warns Edward Snowden: Don't Cozy Up To The Russians (VIDEO) | HuffPost Latest News
5024,Dana Milbank: The price Gina Gray paid for whistleblowing - The Washington Post
5025,TV Message by Snowden Says Privacy Still Matters - The New York Times
5026,House Homeland Security Chair: Boehner Must Promise 'No Conference' on Senate Amnesty Bill
5027,Five things we learned from the Benghazi hearings - CNNPolitics
5028,U.S. Helps Allies Trying to Battle Iranian Hackers - The New York Times
5029,Criticism of United States’ Mideast Policy Increasingly Comes From Allies - The New York Times
5030,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
5031,U.S. military drone surveillance is expanding to hot spots beyond declared combat zones - The Washington Post
5032,NULL
5033,Mozambique's Renamo 'ends 1992 peace deal' after raid - BBC News
5034,Kim Jong-un of North Korea Orders Missile Readiness - The New York Times
5035,Baroness Thatcher's lasting legacy in Middle East - BBC News
5036,Why Iran isn’t the Soviet Union – Global Public Square - CNN.com Blogs
5037,Analysts warn of risk from extremists in Syria
5038,Obama on Leno: Embassy terror threat requires 'every precaution' | Fox News
5039,"Edward Snowden flees Hong Kong for Moscow, asks Ecuador to grant him asylum - The Washington Post"
5040,Analysis: How Kerry's off-hand remark put a deal on Syria in play
5041,NULL
5042,The cost of Obama's secret drone war - BBC News
5043,NULL
5044,NULL
5045,NULL
5046,NULL
5047,U.S. Considers Faster Pullout in Afghanistan - The New York Times
5048,"The U.S. military is scrapping up to 2,000 of its mine-resistant vehicles, which cost $1 million each - The Washington Post"
5049,NULL
5050,NULL
5051,Emails reportedly show White House cooperation on book containing Stuxnet leak | Fox News
5052,NULL
5053,"Bergen: Obama, realist and risk taker - CNN"
5054,Probe launched over $500M spent on Afghanistan planes now sitting idle | Fox News
5055,What if it were Bush's drone policy?
5056,NULL
5057,NULL
5058,NULL
5059,NULL
5060,"EXCLUSIVE: Father of Edward Snowden urges son not to commit 'treason,' to return home | Fox News"
5061,NULL
5062,NULL
5063,How Obama is continuing the War on Terror | On Air Videos | Fox News
5064,Qaeda Plot Leak Has Undermined U.S. Intelligence - The New York Times
5065,Can White House make public argument for NSA surveillance? | On Air Videos | Fox News
5066,"Bin Laden raid files reportedly purged from Pentagon computers, sent to CIA | Fox News"
5067,NULL
5068,NULL
5069,"Snowden 'exhausted,' misses American girlfriend"
5070,NULL
5071,NULL
5072,NULL
5073,"Rumsfeld: I give the Bush administration a D-, Obama gets an F – The Lead with Jake Tapper - CNN.com Blogs"
5074,Lead FBI Benghazi Investigator Has Never Testified Before Congress
5075,"There is no military solution, folks."
5076,Meet the Press: Inside Takes on the Latest Stories with Chuck Todd | NBC News
5077,U.S. to beef up missile defense against North Korea
5078,NULL
5079,NULL
5080,NULL
5081,"HuffPost - Breaking News, U.S. and World News | HuffPost"
5082,NULL
5083,NULL
5084,Iran releases footage allegedly extracted from US drone | Fox News
5085,NULL
5086,NULL
5087,NULL
5088,World News | NBC News
5089,"Finally, Obama gives a reason to take action in Syria - The Washington Post"
5090,Obama warns of extremist threat in Syria
5091,NULL
5092,Advocates redouble efforts on immigration reform
5093,NSA leaks: US seeks Snowden extradition from Hong Kong - BBC News
5094,Kerry comments add to mystery about rogue CIA agent missing in Iran | Fox News
5095,NULL
5096,World News | NBC News
5097,NULL
5098,Will Angela Merkel stop texting after US spying claims? - BBC News
5099,World News | NBC News
5100,What are America's military options in Syria? | On Air Videos | Fox News
5101,NULL
5102,Obama appoints Rice as national security adviser
5103,Obama to seek Congress vote on Syria military action - BBC News
5104,Kerry's big 'unbelievably small' blunder? | On Air Videos | Fox News
5105,BBC - Home
5106,NULL
5107,Obama hits the links with HBO's Larry David
5108,On Michael Hastings - The Washington Post
5109,Emanuel on David Letterman show - Chicago Tribune
5110,World News | NBC News
5111,Irish minister welcomes US immigration reform bill - BBC News
5112,"Politics: Congress, Political Parties, National Security & More | NBC News"
5113,NULL
5114,Obama’s Turn in Bush’s Bind With Defense Policies - The New York Times
5115,Weather control conspiracy theories: scientifically unjustifiable - The Washington Post
5116,Obama's Strategy Of Talking To Countries Instead Of Going To War Might Just Be Crazy Enough To Work | HuffPost null
5117,Book discussion: Eyal Press' 'Beautiful Souls' ... and whether Edward Snowden is one of them
5118,"Clinton sought end-run around counterterrorism bureau on night of Benghazi attack, witness will say | Fox News"
5119,A rare peek into a Justice Department leak probe - The Washington Post
5120,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
5121,NULL
5122,"The Enemy - ""Groundswell"" - New David Corn Scoop"
5123,Gingrich pushes back against Mandela critics – CNN Political Ticker - CNN.com Blogs
5124,Ryan says GOP won’t back down on spending cuts - The Washington Post
5125,Eugene Robinson: Bush’s legacy keeps getting worse - The Washington Post
5126,"Racist Cheney Preferred Botha to Mandela, Rush to Powell also"
5127,NULL
5128,"Racist Cheney Preferred Botha to Mandela, Rush to Powell also"
5129,Opinion | The Republicans’ Benghazi Obsession - The New York Times
5130,"Republicans owe Rice an apology on Benghazi, Obama adviser says | Fox News"
5131,Abbreviated Pundit Round-up: When people notice the GOP has nothing...
5132,"If this is the best Rove can do on Hillary and Benghazi, he should stick to math"
5133,Obama: No one listening to your calls - CNNPolitics
5134,Judge permanently blocks parts of Ind. immigration law
5135,"NSA leaker comes forward, warns of agency's 'existential threat' - CNNPolitics"
5136,NULL
5137,"U.S. doctors participated in torture of detainees, report claims"
5138,NULL
5139,DEA Special Operations Division Covers Up Surveillance Used To Investigate Americans: Report | HuffPost Latest News
5140,NULL
5141,NULL
5142,NULL
5143,NULL
5144,Arizona Sheriff Joe Arpaio to appeal ruling in racial profiling case | Fox News
5145,Here's Exactly Who to Blame in Congress for Authorizing Government Spying
5146,10 Reasons Why Greenwald is Foolish
5147,Fail: Karl Rove Attack On Breitbart Gets Facts Wrong
5148,NULL
5149,Obama heckler has history of civil disobedience
5150,American fugitive living in Cuba offers to return - CNN
5151,"HuffPost - Breaking News, U.S. and World News | HuffPost"
5152,Obama Calls Surveillance Programs Legal and Limited - The New York Times
5153,NULL
5154,Remark by Obama Complicates Military Sexual Assault Trials - The New York Times
5155,NULL
5156,NULL
5157,NULL
5158,NULL
5159,NULL
5160,Republicans still questioning Holder’s comment on leak investigations – CNN Political Ticker - CNN.com Blogs
5161,NULL
5162,Will the Left Finally Get the Tea Party Now?
5163,Edward Snowden says he seeks safe harbor in Iceland
5164,Snowden leaks: Rifkind's spy scrutiny role questioned - BBC News
5165,Protests at Obama events continue after arrests - Chicago Tribune
5166,NULL
5167,NULL
5168,"Who is Adly Mansour, new president of Egypt?"
5169,"Politics: Congress, Political Parties, National Security & More | NBC News"
5170,Coretta Scott King in 1991: Hold Employers Accountable for Hiring Illegal Aliens
5171,Proposal seeks to fine tech companies for noncompliance with wiretap orders - The Washington Post
5172,Opinion | How to Handle a Terrorism Case - The New York Times
5173,Immigration from Romania and Bulgaria: Government accused of 'farcical' strategy - BBC News
5174,NULL
5175,Obama launches another attack on Christmas. 
5176,Phone Records of Journalists of The Associated Press Seized by U.S. - The New York Times
5177,NULL
5178,NULL
5179,White House attacks plans to curb NSA data collection - BBC News
5180,Proposal seeks to fine tech companies for noncompliance with wiretap orders - The Washington Post
5181,Meet the new face of immigration reform | Fox News
5182,"Here's what happens when someone wants to use your ""public"" info to intimidate you. (Updated)"
5183,DeMint Unloads on Secretive Immigration Reform Process
5184,Horrible crimes committed by illegal immigrants  | On Air Videos | Fox News
5185,Investigations: U.S. & World News Investigations | NBC News
5186,NSA collected thousands of e-mails by Americans
5187,Privacy Group to Ask Supreme Court to Stop N.S.A.’s Phone Spying Program - The New York Times
5188,"NSA uses supercomputers to crack Web encryption, files show"
5189,White House Tries to Prevent Judge From Ruling on Surveillance Efforts - The New York Times
5190,NULL
5191,Pelosi booed for defense of NSA surveillance
5192,Joan Baez diffuses right wing protest at Idaho concert
5193,DNI releases more documents to justify NSA surveillance
5194,"NSA spied on Martin Luther King, documents reveal - BBC News"
5195,Snowden says he will seek asylum in Russia - The Washington Post
5196,Opinion | Breaking Through Limits on Spying - The New York Times
5197,Woolwich: Boris Johnson finds Data Bill 'compelling' - BBC News
5198,Officials: Man who knew Boston bombing suspect was unarmed when shot - The Washington Post
5199,Analysis: Obama's agenda scorched in firestorm
5200,Obama Panel Said to Urge N.S.A. Curbs - The New York Times
5201,Senators reject biometric tracking in immigration reform
5202,Edward Snowden: Leaks that exposed US spy programme - BBC News
5203,NSA reveals more secrets after court order
5204,Media Ignore Americans Killed by Illegal Alien 'DREAMers'
5205,NULL
5206,Obama warns on US military sexual assaults - BBC News
5207,Meet the Press: Inside Takes on the Latest Stories with Chuck Todd | NBC News
5208,Meet the Press: Inside Takes on the Latest Stories with Chuck Todd | NBC News
5209,Federal Judge Finds Violations of Rights by Sheriff Joe Arpaio - The New York Times
5210,NULL
5211,US immigration bill passes Senate panel - BBC News
5212,NULL
5213,"Esther J. Cepeda: With Hispanics, Mitt Romney hasn’t learned his lesson - The Washington Post"
5214,NULL
5215,Immigration proposal could be delayed - The Washington Post
5216,Hagel Grilled on Army Email Equating Christians to Racists and Terrorists
5217,NULL
5218,Opinion: Smartphones help catch a terror suspect - CNN
5219,NULL
5220,Jeb Bush Book: Undocumented Immigrants Should Be Ineligible For Citizenship | HuffPost Latest News
5221,NULL
5222,NULL
5223,Rep. Kelly (R-PA): Consultants 'Drinking Brandy and Smoking Cigars' Wrote Senate Immigration Bill
5224,NULL
5225,Abbreviated pundit roundup: New FISA oversight bill introduced
5226,Judge orders Google to turn over data to FBI
5227,NULL
5228,Defense Department gives local police equipment designed for a war zone | Fox News
5229,IRS Scandal: IRS Commissioner Defends 'Lie by Omission' to Congress
5230,"Snowden applies for political asylum in Russia, rants against Obama administration"
5231,"Doctors aided US torture at military prisons, report says - BBC News"
5232,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
5233,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
5234,NULL
5235,Opinion | Secrets and Leaks - The New York Times
5236,Edward Snowden's Ecuador asylum bid 'might take weeks' - BBC News
5237,"Lon Snowden, Father Of NSA Leaker, Arrives In Russia To See Son | HuffPost Latest News"
5238,Exception
5239,"Opinion: Your life, under constant surveillance - CNN"
5240,"Obama's NSA review vindicates Snowden, Assange says - CNNPolitics"
5241,State lawmaker proposes law to regulate drones - Chicago Tribune
5242,"FBI under pressure to explain drone use, as Obama names new director | Fox News"
5243,NULL
5244,Cantor: Children of Illegal Immigrants Should Get Citizenship
5245,Lawmakers eye regulating domestic surveillance drones | Fox News
5246,National Security Policies Go Too Far In Restricting Civil Liberties: Poll | HuffPost Latest News
5247,Edward Snowden: UK warning aims to keep away US leaker - BBC News
5248,Editorial: Now Obama wants to protect the press? - Chicago Tribune
5249,Immigration Bill Expected to Focus on Work Skills - The New York Times
5250,NULL
5251,PRISM: What It's Really All About
5252,House to vote on bipartisan amendment curtailing the NSA's power
5253,Federal Court Signals AZ's Denial of Driver's License for Illegals in Trouble
5254,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
5255,NULL
5256,NULL
5257,NULL
5258,Latest Release of Documents on N.S.A. Includes 2004 Ruling on Email Surveillance - The New York Times
5259,CBS confirms reporter Sharyl Attkison’s computer was breached - The Washington Post
5260,"Opinion: Bigger threat, Edward Snowden or NSA? - CNN.com"
5261,NULL
5262,What to read in 2013 - Chicago Tribune
5263,NULL
5264,Judge: Army GI in WikiLeaks case illegally punished
5265,NULL
5266,"Politics: Congress, Political Parties, National Security & More | NBC News"
5267,NULL
5268,NULL
5269,5 questions about the NSA court ruling - CNNPolitics
5270,"President Obama, Stop Separating and Deporting Our Families | HuffPost Latest News"
5271,Calling conservatives’ bluff on immigration reform - The Washington Post
5272,Federal judge: NSA phone surveillance legal
5273,NY Times Editorial Board On NSA Scandal: Obama 'Administration Has Now Lost All Credibility' | HuffPost Latest News
5274,NULL
5275,"Opinion: Bigger threat, Edward Snowden or NSA? - CNN.com"
5276,NULL
5277,President Moves to Ease Worries on Surveillance - The New York Times
5278,Media Ignore Americans Killed by Illegal Alien 'DREAMers'
5279,T.S.A. Expands Duties Beyond Airport Security - The New York Times
5280,White House Sits in on 'Gang of Eight'; Law Enforcement Excluded
5281,NULL
5282,NULL
5283,Latest Release of Documents on N.S.A. Includes 2004 Ruling on Email Surveillance - The New York Times
5284,Justices Block Law Requiring Voters to Prove Citizenship - The New York Times
5285,Cispa bill on cyber security passed by the US House - BBC News
5286,NULL
5287,NULL
5288,Debate Over Delaying of Miranda Warning - The New York Times
5289,NULL
5290,NULL
5291,Pelosi booed by activists after criticizing leaker Edward Snowden - Chicago Tribune
5292,NULL
5293,Rough times for Obama? Sure. But Nixonian? Please. - The Washington Post
5294,Hollywood supporters turn on Obama administration over NSA data mining allegations | Fox News
5295,NULL
5296,Second term mostly drama for Obama - CNNPolitics
5297,"White House calls Benghazi 'phony' scandal, as lawmakers seek answers on probe | Fox News"
5298,NULL
5299,NY Times Editorial Board On NSA Scandal: Obama 'Administration Has Now Lost All Credibility' | HuffPost Latest News
5300,Obama’s foreign policy address | On Air Videos | Fox News
5301,NULL
5302,"Obama's Allies in Syria: Al Qaeda, 'Highwaymen, Kidnappers, and Killers'"
5303,Debate Over Delaying of Miranda Warning - The New York Times
5304,Opinion | The Republicans’ Benghazi Obsession - The New York Times
5305,AP president calls on Obama to 'rein in'  DOJ probe into wire service's records | Fox News
5306,Did Benghazi probe let State Dept. official off hook? | On Air Videos | Fox News
5307,NULL
5308,NULL
5309,Petraeus’s role in drafting Benghazi talking points raises questions - The Washington Post
5310,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
5311,NULL
5312,NULL
5313,Recent scandals finally taking a toll on Obama? | On Air Videos | Fox News
5314,"HuffPost - Breaking News, U.S. and World News | HuffPost"
5315,Republicans look to show 'cover-up' as whistle-blowers give Benghazi testimony | Fox News
5316,CBS confirms reporter Sharyl Attkison’s computer was breached - The Washington Post
5317,NULL
5318,NULL
5319,NULL
5320,Investigations: U.S. & World News Investigations | NBC News
5321,Obama Calls Surveillance Programs Legal and Limited - The New York Times
5322,Hillary Misled Congress--But Not Under Oath
5323,Fox News' Ed Henry Rips Jay Carney Over Susan Rice Promotion
5324,Benghazi Whistleblower: 'My Jaw Hit the Floor' as WH Blamed YouTube
5325,NULL
5326,Obama's Libya Lies Collapse: Senate Democrats Demand Answers
5327,President Obama's roller-coaster Syrian gamble - BBC News
5328,Benghazi Survivors Remain Gagged by Federal Law
5329,Investigations: U.S. & World News Investigations | NBC News
5330,Whistleblower: Hillary's State Dept. Told Me Not to Talk to Congress
5331,Did Ed Koch really say that about Obama? | Fox News
5332,Ex-NSA chief calls for Obama to reject recommendations
5333,Obama's Libya Lies Collapse: Senate Democrats Demand Answers
5334,NULL
5335,"Politics: Congress, Political Parties, National Security & More | NBC News"
5336,NULL
5337,Dana Milbank: Darrell Issa and the overblown scandals - The Washington Post
5338,NULL
5339,"At Benghazi hearing, State Dept. officials challenge administration review of attacks - The Washington Post"
5340,Drone court considered – CNN Security Clearance - CNN.com Blogs
5341,"Growing chatter, rising concern and post-Benghazi caution behind threat warning and embassy closures – CNN Security Clearance - CNN.com Blogs"
5342,John Kerry: Some NSA spying went too far - BBC News
5343,New info on who was responsible for Benghazi attacks | On Air Videos | Fox News
5344,GOP Lawmakers Prepare Whistleblower Protections for Benghazi Survivors
5345,"Benghazi memos reportedly revised 12 times, official 'concerned' they would hurt State | Fox News"
5346,Big Sis: Obama Admin Can Pick Which Laws to Enforce
5347,No legal exceptions for Rice and Panetta - The Washington Post
5348,NULL
5349,Whistleblower: Hillary's State Dept. Told Me Not to Talk to Congress
5350,Meet the Press: Inside Takes on the Latest Stories with Chuck Todd | NBC News
5351,"Under sweeping subpoenas, Justice Department obtained AP phone records in leak investigation - The Washington Post"
5352,"Politics: Congress, Political Parties, National Security & More | NBC News"
5353,Dana Milbank: Obama’s summer swoon - The Washington Post
5354,"HuffPost - Breaking News, U.S. and World News | HuffPost"
5355,NULL
5356,"Former SOD Gates Slams Benghazi Critics as ""Cartoonish"""
5357,NULL
5358,2 Secret Service supervisors under investigation in misconduct probe - CNNPolitics
5359,Hillary Clinton silences a heckler — and presses for civility in D.C.
5360,NULL
5361,Investigations: U.S. & World News Investigations | NBC News
5362,Mainstream Media Did Not Break Even One of Four Obama Scandals
5363,AP blasts feds for phone records search - CNN
5364,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
5365,NULL
5366,NULL
5367,"Domingo Alcibia, Bolivian Lawmaker, Allegedly Rapes Woman In Legislature, Caught By Security Camera | HuffPost Communities"
5368,NULL
5369,NULL
5370,NULL
5371,"Amid Government Shutdown, Pentagon To Recall Most Furloughed Workers | HuffPost Latest News"
5372,What if a typical family spent like the federal government? It’d be a very weird family. - The Washington Post
5373,NULL
5374,"Congress passes $9.7 billion in Sandy aid, with some House GOP dissent - The Washington Post"
5375,Opinion: Controversial immigration report may be right - CNN
5376,NULL
5377,Senate poised for dueling votes on 'sequester'
5378,NULL
5379,"After Detroit bankruptcy filing, city retirees on edge as they face pension cuts - The Washington Post"
5380,Workers Claim Racial Bias in Farms’ Hiring of Immigrants - The New York Times
5381,States Told To Plan For Sequestration Military Cuts | HuffPost Latest News
5382,Abbreviated Pundit Round-up
5383,George Soros's Former Chief Strategist Joins Zuckerberg Immigration Group
5384,W.H. adviser questions whether GOP will throw wrench in governing – CNN Political Ticker - CNN.com Blogs
5385,NULL
5386,Obama chief of staff warns of sequester
5387,Immigration enforcement is key: Our view
5388,IRS struggles with tax fraud via identity theft
5389,Who is responsible for the sequester? - The Washington Post
5390,"Pentagon to recall most furloughed workers, Hagel says - The Washington Post"
5391,NULL
5392,Eugene Robinson: GOP is not acting in the national interest - The Washington Post
5393,Government shutdown leaves airlines in charge of the skies
5394,E.J. Dionne: America is not in decline or retreat - The Washington Post
5395,Make It Hurt? Republicans accuse administration of inflicting added budget pain | Fox News
5396,NULL
5397,Meet the Press: Inside Takes on the Latest Stories with Chuck Todd | NBC News
5398,G.O.P. Spendthrifts Preserve Government Expansion - The New York Times
5399,Military service chiefs warn budget cuts will undermine readiness - The Washington Post
5400,NULL
5401,NULL
5402,The Morning Plum: The problem isn’t generic “Washington gridlock.” It’s the House GOP. - The Washington Post
5403,State of the Union: Obama pledges to reignite economy - BBC News
5404,Pentagon spending nearly $1 billion a year on unemployment despite budget cuts | Fox News
5405,"U.S. Army Says Only Two Brigades Fully Trained Amid Budget Cuts, Fiscal Uncertainty | HuffPost Latest News"
5406,"Politics: Congress, Political Parties, National Security & More | NBC News"
5407,Opinion | Republicans and Democrats Both Miscalculated - The New York Times
5408,Military Families Host 'Twitter Town Hall' Against Budget Deal
5409,NULL
5410,"Sequestration Fixes Counterproductive, Congressional Democrats Say | HuffPost Latest News"
5411,Government shutdown gears in motion 
5412,Abbreviated Pundit Round-up
5413,Changing the subject: GOP resists White House effort to control message - CNNPolitics
5414,NULL
5415,NULL
5416,Services lay out sweeping state-by-state spending cuts
